NRep,Profile,TimeVariability(factor1),TaskDistribution(factor2),Policy(factor3),TotalDelayT,TotalDelayS,maxDelayResource,TotalCapacity
1,P,0,0,0,127,742,6.58,172
1,P,0,0,1,60,655,1.91,180
1,P,0,1,0,138,734,3.45,166
1,P,0,1,1,72,677,2.04,167
1,P,1,1,0,254,975,5.24,179
1,P,1,1,1,139,855,1.76,179
1,P,1,0,0,215,941,7.49,184
1,P,1,0,1,138,859,1.88,193
2,P,0,0,0,138,749,6.3,172
2,P,0,0,1,55,648,1.74,172
2,P,0,1,0,147,745,4.28,166
2,P,0,1,1,71,664,1.61,166
2,P,1,1,0,237,961,5.8,179
2,P,1,1,1,126,849,1.74,193
2,P,1,0,0,210,935,7.68,184
2,P,1,0,1,131,841,2.09,190
3,P,0,0,0,130,733,6.74,172
3,P,0,0,1,53,646,1.3,183
3,P,0,1,0,157,756,4.01,166
3,P,0,1,1,67,673,1.88,167
3,P,1,1,0,227,950,6.54,179
3,P,1,1,1,142,864,2.0,179
3,P,1,0,0,219,955,5.56,184
3,P,1,0,1,140,863,2.27,185
4,P,0,0,0,133,739,5.99,172
4,P,0,0,1,65,667,1.81,172
4,P,0,1,0,152,752,3.94,166
4,P,0,1,1,67,657,2.04,166
4,P,1,1,0,235,964,5.07,179
4,P,1,1,1,131,852,1.68,188
4,P,1,0,0,226,951,8.88,184
4,P,1,0,1,127,842,1.52,193
5,P,0,0,0,131,741,7.03,172
5,P,0,0,1,59,665,2.08,172
5,P,0,1,0,141,753,4.38,166
5,P,0,1,1,74,665,1.96,166
5,P,1,1,0,236,967,5.09,179
5,P,1,1,1,127,837,1.75,194
5,P,1,0,0,222,948,8.44,184
5,P,1,0,1,125,838,2.18,191
1,F,0,0,0,110,822,10.4,129
1,F,0,0,1,59,770,1.27,133
1,F,0,1,0,133,834,3.9,132
1,F,0,1,1,67,783,1.43,132
1,F,1,1,0,242,1080,6.8,145
1,F,1,1,1,125,954,1.68,152
1,F,1,0,0,204,1032,10.68,141
1,F,1,0,1,116,941,1.96,142
2,F,0,0,0,111,815,10.77,129
2,F,0,0,1,62,774,1.29,128
2,F,0,1,0,134,837,3.94,132
2,F,0,1,1,66,773,1.64,133
2,F,1,1,0,240,1065,8.23,145
2,F,1,1,1,135,963,2.0,150
2,F,1,0,0,210,1047,9.73,141
2,F,1,0,1,132,962,1.78,142
3,F,0,0,0,101,803,12.07,129
3,F,0,0,1,56,760,1.24,134
3,F,0,1,0,133,838,4.97,132
3,F,0,1,1,74,780,1.9,132
3,F,1,1,0,251,1077,8.27,145
3,F,1,1,1,132,958,1.87,152
3,F,1,0,0,214,1040,12.95,141
3,F,1,0,1,130,948,1.77,142
4,F,0,0,0,120,827,10.84,129
4,F,0,0,1,49,753,1.31,134
4,F,0,1,0,144,849,5.22,132
4,F,0,1,1,69,773,1.61,133
4,F,1,1,0,230,1064,10.26,145
4,F,1,1,1,132,962,1.66,151
4,F,1,0,0,196,1022,11.45,141
4,F,1,0,1,116,945,1.91,147
5,F,0,0,0,105,813,10.4,129
5,F,0,0,1,59,765,1.48,128
5,F,0,1,0,137,839,4.07,132
5,F,0,1,1,64,773,1.52,132
5,F,1,1,0,226,1056,7.67,145
5,F,1,1,1,126,959,1.59,154
5,F,1,0,0,202,1031,11.26,141
5,F,1,0,1,113,934,1.26,153
1,FP,0,0,0,106,641,2.39,130
1,FP,0,0,1,49,581,1.41,134
1,FP,0,1,0,143,687,3.73,140
1,FP,0,1,1,50,588,1.28,140
1,FP,1,1,0,192,842,3.65,145
1,FP,1,1,1,132,773,2.22,145
1,FP,1,0,0,181,825,7.77,136
1,FP,1,0,1,131,775,1.97,137
2,FP,0,0,0,107,636,2.43,130
2,FP,0,0,1,58,590,1.76,129
2,FP,0,1,0,122,660,3.05,140
2,FP,0,1,1,59,590,1.79,139
2,FP,1,1,0,200,847,3.06,145
2,FP,1,1,1,125,769,2.16,148
2,FP,1,0,0,193,850,4.81,136
2,FP,1,0,1,130,775,2.05,136
3,FP,0,0,0,111,640,1.66,130
3,FP,0,0,1,53,581,1.7,133
3,FP,0,1,0,128,657,2.75,140
3,FP,0,1,1,59,596,1.7,140
3,FP,1,1,0,208,870,3.18,145
3,FP,1,1,1,132,763,1.84,145
3,FP,1,0,0,176,815,4.77,136
3,FP,1,0,1,128,766,1.64,137
4,FP,0,0,0,105,633,2.92,130
4,FP,0,0,1,50,584,1.31,133
4,FP,0,1,0,124,651,3.28,140
4,FP,0,1,1,50,588,1.28,140
4,FP,1,1,0,218,880,2.85,145
4,FP,1,1,1,133,773,1.49,146
4,FP,1,0,0,187,843,4.47,136
4,FP,1,0,1,124,776,1.5,136
5,FP,0,0,0,106,638,1.62,130
5,FP,0,0,1,51,586,1.41,134
5,FP,0,1,0,128,662,3.37,140
5,FP,0,1,1,61,599,1.56,140
5,FP,1,1,0,210,868,2.76,145
5,FP,1,1,1,133,785,1.73,145
5,FP,1,0,0,183,832,5.04,136
5,FP,1,0,1,131,780,1.53,136
1,PF,0,0,0,68,406,1.84,148
1,PF,0,0,1,43,375,0.57,149
1,PF,0,1,0,68,397,3.23,156
1,PF,0,1,1,46,384,0.52,159
1,PF,1,1,0,144,591,3.66,167
1,PF,1,1,1,107,541,0.53,166
1,PF,1,0,0,131,565,2.52,155
1,PF,1,0,1,107,548,0.88,155
2,PF,0,0,0,77,416,1.15,148
2,PF,0,0,1,40,378,0.43,149
2,PF,0,1,0,69,408,2.38,156
2,PF,0,1,1,47,394,0.47,157
2,PF,1,1,0,143,589,2.27,167
2,PF,1,1,1,110,556,0.7,166
2,PF,1,0,0,145,595,2.19,155
2,PF,1,0,1,112,553,0.64,155
3,PF,0,0,0,65,412,0.7,148
3,PF,0,0,1,41,385,0.3,149
3,PF,0,1,0,74,416,2.49,156
3,PF,0,1,1,42,375,0.58,159
3,PF,1,1,0,139,577,2.67,167
3,PF,1,1,1,112,556,0.69,166
3,PF,1,0,0,132,575,2.36,155
3,PF,1,0,1,105,542,0.71,158
4,PF,0,0,0,69,417,1.07,148
4,PF,0,0,1,35,379,0.52,149
4,PF,0,1,0,64,395,2.18,156
4,PF,0,1,1,42,376,0.41,161
4,PF,1,1,0,147,595,1.62,167
4,PF,1,1,1,115,560,0.65,166
4,PF,1,0,0,142,580,2.27,155
4,PF,1,0,1,119,560,0.57,158
5,PF,0,0,0,63,413,0.85,148
5,PF,0,0,1,36,378,0.35,149
5,PF,0,1,0,61,402,2.01,156
5,PF,0,1,1,43,385,0.38,161
5,PF,1,1,0,145,591,2.18,167
5,PF,1,1,1,106,544,0.58,166
5,PF,1,0,0,144,596,3.2,155
5,PF,1,0,1,113,541,0.75,155
1,PP,0,0,0,93,503,2.78,140
1,PP,0,0,1,51,455,1.08,142
1,PP,0,1,0,100,508,2.12,152
1,PP,0,1,1,51,459,1.84,151
1,PP,1,1,0,198,702,5.93,158
1,PP,1,1,1,117,628,1.55,159
1,PP,1,0,0,174,680,2.92,145
1,PP,1,0,1,127,625,1.46,153
2,PP,0,0,0,88,491,1.82,140
2,PP,0,0,1,50,459,1.26,142
2,PP,0,1,0,97,501,1.97,152
2,PP,0,1,1,44,456,1.25,151
2,PP,1,1,0,175,684,3.97,158
2,PP,1,1,1,116,618,1.89,160
2,PP,1,0,0,175,676,2.71,145
2,PP,1,0,1,115,624,1.92,146
3,PP,0,0,0,88,491,2.01,140
3,PP,0,0,1,47,456,1.34,142
3,PP,0,1,0,100,500,2.3,152
3,PP,0,1,1,44,441,0.9,150
3,PP,1,1,0,173,674,4.16,158
3,PP,1,1,1,129,641,1.42,160
3,PP,1,0,0,180,684,1.76,145
3,PP,1,0,1,116,621,1.85,146
4,PP,0,0,0,99,502,2.8,140
4,PP,0,0,1,44,454,1.25,142
4,PP,0,1,0,105,505,2.03,152
4,PP,0,1,1,43,445,1.02,151
4,PP,1,1,0,184,686,6.64,158
4,PP,1,1,1,119,628,1.51,159
4,PP,1,0,0,183,688,2.53,145
4,PP,1,0,1,122,626,1.9,152
5,PP,0,0,0,92,494,1.49,140
5,PP,0,0,1,50,455,1.18,142
5,PP,0,1,0,105,512,0.71,152
5,PP,0,1,1,49,451,1.12,150
5,PP,1,1,0,190,704,2.55,158
5,PP,1,1,1,120,622,1.58,160
5,PP,1,0,0,181,694,1.75,145
5,PP,1,0,1,110,608,1.86,146
